7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1405,0.147,,,,0.18195,0.18403,0.22358,,,,,,,,,,,,,,,,,,,,,,0.58457,,,0.61714,,,0.64949,0.66994,,0.68993,0.69886,0.71037,0.7246,0.72746,0.73973,0.74816,0.76323,0.76849
7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14074,0.14717,,,,0.1826,0.18429,0.22839,,,,,,,,,,,,,,,,,,,,,,0.58673,,,0.61773,,,0.64966,0.67095,0.66689,0.69114,0.70078,0.71285,0.72707,0.72773,0.7405,0.74859,0.76358,0.76888
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14102,0.14738,,,,0.18336,0.1846,0.23399,,,,,,,,,,,,,,,,,,,,,,0.58914,,,0.61839,,,0.64984,0.67204,0.66699,0.69246,0.70288,0.71554,0.72974,0.72802,0.74134,0.74905,0.76395,0.76929
8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14134,0.14761,,,,0.18423,0.18495,0.24036,,,,,,,,,,,,,,,,,,,,,,0.59177,,,0.6191,,,0.65004,0.67322,0.66709,0.69387,0.70512,0.71841,0.73258,0.72833,0.74223,0.74953,0.76434,0.76973
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14168,0.14785,,,,0.18514,0.18532,0.24697,,,,,,,,,,,,,,,,,,,,,,0.59428,,,0.61977,,,0.65022,0.67431,0.66719,0.69517,0.70717,0.72103,0.73515,0.7286,0.74303,0.74996,0.76468,0.77012
9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14203,0.14811,,,,0.18609,0.1857,0.25389,,,,,,,,,,,,,,,,,,,,,,0.59664,,,0.62039,,,0.65039,0.6753,0.66728,0.69632,0.70899,0.72335,0.73742,0.72884,0.74372,0.75034,0.76497,0.77044
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1424,0.14837,,0.16158,,0.18708,0.1861,0.26107,,,,,,,,,,,,,,,,,,,,,,0.59881,,,0.62094,,,0.65053,0.67614,0.66735,0.6973,0.71053,0.7253,0.73929,0.72904,0.74427,0.75063,0.7652,0.77069
10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14279,0.14865,,0.16165,,0.1881,0.18651,0.26846,,,,,,,,,,,,,,,,,,,,,,0.60072,,,0.62142,,,0.65065,0.67683,0.66741,0.69808,0.71175,0.72682,0.74072,0.72918,0.74468,0.75084,0.76536,0.77087
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14319,0.14894,,0.16172,,0.18915,0.18693,0.27599,,,,,,,,,,,,,,,,,,,,,,0.60232,,,0.62179,,,0.65074,0.67734,0.66746,0.69863,0.7126,0.72786,0.74166,0.72927,0.74492,0.75096,0.76544,0.77095
11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1436,0.14924,,0.1618,,0.19022,0.18736,0.28362,,,,,,,,,,,,,,,,,,,,,,0.60359,,,0.62207,,,0.6508,0.67764,0.66749,0.69894,0.71306,0.72839,0.74208,0.7293,0.74498,0.75098,0.76544,0.77095
