8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17806,0.17839,0.20996,,,0.26178,,,,,,,,,,,,,,,,,,,,,,,0.70649,0.70911,0.76535,0.74159,0.78101
8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17914,0.17911,0.21108,,,0.26415,,,,,,,,,,,,,,,,,,,,,,,0.70658,0.70921,0.76613,0.74161,0.7813
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18025,0.17984,0.21221,,,0.26651,,,,,,,,,,,,,,,,,,,,,,,0.70663,0.70926,0.7664,0.74162,0.78132
9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18136,0.18058,0.21334,,,0.26886,,,,,,,,,,,,,,,,,,,,,,,0.70663,0.70926,0.76614,0.74161,0.78108
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18249,0.18133,0.21447,,,0.27115,,,,,,,,,,,,,,,,,,,,,,,0.70658,0.7092,0.76537,0.74158,0.78058
10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18362,0.18208,0.21559,,,0.27337,,,,,,,,,,,,,,,,,,,,,,,0.70649,0.70909,0.76411,0.74155,0.77985
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18474,0.18282,0.21668,,,0.27551,,,,,,,,,,,,,,,,,,,,,,,0.70635,0.70893,0.7624,0.7415,0.7789
11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18584,0.18355,0.21774,,,0.27753,,,,,,,,,,,,,,,,,,,,,,,0.70619,0.70873,0.7603,0.74144,0.77777
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18692,0.18426,0.21876,,,0.27942,,,,,,,,,,,,,,,,,,,,,,,0.70598,0.70849,0.75788,0.74137,0.77651
12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18797,0.18495,0.21973,,,0.28116,,,,,,,,,,,,,,,,,,,,,,,0.70576,0.70822,0.75523,0.74129,0.77515
