0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20531,,0.21526,0.22839,,0.26394,,0.29083,0.32167,,0.31148,0.33393,,0.36855,0.36709,0.36062,0.35409
16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20533,,0.21528,0.22845,,0.26419,,0.29094,0.32158,,0.31137,0.33363,,0.36781,0.36637,0.36005,0.35369
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20535,,0.2153,0.22849,,0.26433,,0.2909,0.32124,,0.31112,0.33315,,0.3668,0.36541,0.35928,0.35316
17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20536,,0.21531,0.22852,,0.26434,,0.29069,0.32067,,0.31072,0.3325,,0.36554,0.36421,0.35834,0.35252
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20537,,0.21531,0.22852,,0.26422,,0.29032,0.31987,,0.31019,0.33168,,0.36406,0.3628,0.35722,0.35176
18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20537,,0.21531,0.2285,,0.26398,,0.28979,0.31885,,0.30952,0.33072,,0.36236,0.36118,0.35596,0.35091
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20537,,0.2153,0.22846,,0.26362,,0.28911,0.31762,,0.30873,0.32961,,0.36047,0.35939,0.35455,0.34997
19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20536,,0.21529,0.2284,,0.26313,,0.28828,0.31619,,0.30782,0.32837,,0.35842,0.35745,0.35304,0.34895
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20535,,0.21527,0.22833,,0.26253,,0.28732,0.31458,,0.30681,0.32702,,0.35624,0.35538,0.35142,0.34788
20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20533,,0.21525,0.22823,,0.26183,,0.28623,0.31281,,0.30571,0.32557,,0.35396,0.35321,0.34974,0.34676
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20531,,0.21522,0.22812,,0.26101,,0.28503,0.3109,,0.30452,0.32405,,0.3516,0.35098,0.348,0.34561
21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20529,,0.21518,0.22799,,0.26011,,0.28373,0.30887,,0.30327,0.32247,,0.3492,0.34871,0.34625,0.34445
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20525,,0.21514,0.22784,,0.25911,,0.28234,0.30674,,0.30197,0.32086,,0.34679,0.34643,0.34449,0.34329
22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20522,,0.2151,0.22768,,0.25805,,0.28087,0.30455,,0.30064,0.31923,,0.34442,0.34418,0.34275,0.34215
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20518,,0.21505,0.22751,,0.25691,,0.27935,0.30231,,0.29928,0.3176,,0.3421,0.342,0.34107,0.34105
23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20513,,0.215,0.22732,,0.25567,,0.27773,0.29996,,0.29787,0.31593,,0.33979,0.33981,0.33939,0.33996
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2051,,0.21495,0.22716,,0.2546,,0.27628,0.29783,,0.29659,0.31442,,0.3377,0.33784,0.33788,0.33898
24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20508,,0.21492,0.22703,,0.25372,,0.27504,0.29599,,0.29548,0.3131,,0.3359,0.33614,0.33658,0.33814
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20506,,0.2149,0.22694,,0.25301,,0.27399,0.29439,,0.29451,0.31195,,0.33435,0.33468,0.33547,0.33742
25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20506,,0.21489,0.22687,,0.25247,,0.27312,0.29301,,0.29367,0.31095,,0.33303,0.33344,0.33453,0.33682
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20506,,0.21488,0.22684,,0.25207,,0.27239,0.29182,,0.29294,0.31008,,0.33191,0.3324,0.33374,0.33631
