9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21193,,,,,0.29979,,,,,,,,,,,,,,,,,,,,,,0.69762,,0.74177,,,,0.79244,0.80688,0.82239,0.8565
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21333,,,,,0.30276,,,,,,,,,,,,,,,,,,,,,,0.69791,,0.74468,,,,0.79252,0.80722,0.8231,0.85932
10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2148,,,,,0.30595,,,,,,,,,,,,,,,,,,,,,,0.69823,,0.74802,,,,0.79262,0.80762,0.82392,0.86258
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21625,,,,,0.30915,,,,,,,,,,,,,,,,,,,,,,0.69856,,0.75149,,,,0.79272,0.80803,0.82477,0.86595
11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21776,,,,,0.31245,,,,,,,,,,,,,,,,,,,,,,0.69888,,0.7548,,,,0.79281,0.80841,0.82555,0.86903
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21932,,0.23614,,,0.31583,,,,,,,,,,,,,,,,,,,,,,0.69919,0.71241,0.7579,0.73411,,,0.7929,0.80875,0.82625,0.87178
12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22093,,0.2362,,,0.31927,,,,,,,,,,,,,,,,,,,,,,0.69947,0.71245,0.76072,0.73415,,,0.79297,0.80905,0.82686,0.87411
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22257,,0.23625,,,0.32276,,,,,,,,,,,,,,,,,,,,,,0.69972,0.71248,0.76321,0.73418,,,0.79303,0.8093,0.82735,0.87598
13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22424,,0.23631,,,0.32628,,,,,,,,,,,,,,,,,,,,,,0.69993,0.71251,0.76534,0.73421,,,0.79308,0.80949,0.82771,0.87733
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22594,,0.23636,,,0.32981,,,,,,,,,,,,,,,,,,,,,,0.70011,0.71254,0.76704,0.73423,,,0.79312,0.80961,0.82795,0.87814
