56,0.52,,,,,0.38252,0.42297,0.4767
56.2,0.52,,,,,0.38256,0.42301,0.47674
56.4,0.52,,,,,0.38259,0.42305,0.47677
56.6,0.52,,,,,0.38263,0.4231,0.47681
56.8,0.52,,,,,0.38267,0.42314,0.47684
57,0.52,,,,,0.3827,0.42318,0.47688
57.2,0.52,,,,,0.38274,0.42323,0.47692
57.4,0.52,,,,,0.38278,0.42327,0.47695
57.6,0.52,,,,,0.38282,0.42331,0.47699
57.8,0.52,,,,,0.38286,0.42336,0.47702
58,0.52,,,,,0.38289,0.4234,0.47706
58.2,0.52,,,,,0.38293,0.42345,0.4771
58.4,0.52,,,,,0.38297,0.4235,0.47714
58.6,0.52,,,,,0.38301,0.42354,0.47717
58.8,0.52,,,,,0.38305,0.42359,0.47721
59,0.52,,,,,0.38309,0.42364,0.47725
59.2,0.52,,,,,0.38313,0.42368,0.47729
59.4,0.52,,,,,0.38318,0.42373,0.47732
59.6,0.52,,,,,0.38322,0.42378,0.47736
59.8,0.52,,,,,0.38326,0.42383,0.4774
60,0.52,,,,,0.3833,0.42388,0.47744
60.2,0.52,,,,,0.38335,0.42393,0.47748
60.4,0.52,,,,,0.38339,0.42398,0.47752
60.6,0.52,,,,,0.38343,0.42403,0.47756
60.8,0.52,,,,,0.38348,0.42408,0.4776
61,0.52,,,,,0.38352,0.42413,0.47764
61.2,0.52,,,,,0.38357,0.42418,0.47768
61.4,0.52,,,,,0.38361,0.42423,0.47772
61.6,0.52,,,,,0.38366,0.42428,0.47776
61.8,0.52,,,,,0.38371,0.42434,0.4778
62,0.52,,,,,0.38376,0.42439,0.47784
62.2,0.52,,,,,0.3838,0.42445,0.47788
62.4,0.52,,,,,0.38385,0.4245,0.47793
62.6,0.52,,,,,0.3839,0.42455,0.47797
62.8,0.52,,,,,0.38395,0.42461,0.47801
63,0.52,,,,,0.384,0.42467,0.47805
63.2,0.52,,,,0.24732,0.38405,0.42472,0.4781
63.4,0.52,,,,0.24733,0.3841,0.42478,0.47814
63.6,0.52,,,,0.24734,0.38415,0.42484,0.47818
63.8,0.52,,,,0.24734,0.3842,0.42489,0.47823
64,0.52,,,,0.24735,0.38426,0.42495,0.47827
64.2,0.52,,,,0.24736,0.38431,0.42501,0.47831
64.4,0.52,,,,0.24736,0.38436,0.42507,0.47836
64.6,0.52,,,,0.24737,0.38442,0.42513,0.4784
64.8,0.52,,,,0.24737,0.38447,0.42519,0.47845
65,0.52,,,,0.24738,0.38452,0.42525,0.47849
65.2,0.52,,,,0.24739,0.38458,0.42531,0.47854
65.4,0.52,,,,0.2474,0.38464,0.42537,0.47858
65.6,0.52,,,,0.2474,0.38469,0.42544,0.47863
65.8,0.52,,,,0.24741,0.38475,0.4255,0.47868
66,0.52,,,,0.24742,0.38481,0.42556,0.47872
66.2,0.52,,,,0.24742,0.38487,0.42563,0.47877
66.4,0.52,,,,0.24743,0.38493,0.42569,0.47882
66.6,0.52,,,,0.24744,0.38499,0.42576,0.47886
66.8,0.52,,,,0.24745,0.38505,0.42582,0.47891
67,0.52,,,,0.24745,0.38511,0.42589,0.47896
67.2,0.52,,,,0.24746,0.38517,0.42596,0.47901
67.4,0.52,,,,0.24747,0.38523,0.42602,0.47905
67.6,0.52,,,,0.24748,0.38529,0.42609,0.4791
67.8,0.52,,,,0.24749,0.38536,0.42616,0.47915
68,0.52,,,,0.24749,0.38542,0.42623,0.4792
68.2,0.52,,,,0.2475,0.38548,0.4263,0.47925
68.4,0.52,,,,0.24751,0.38555,0.42637,0.4793
68.6,0.52,,,,0.24752,0.38561,0.42644,0.47935
68.8,0.52,,,,0.24753,0.38568,0.42651,0.4794
69,0.52,,,,0.24754,0.38575,0.42659,0.47945
69.2,0.52,,,,0.24755,0.38582,0.42666,0.4795
69.4,0.52,,,,0.24756,0.38588,0.42673,0.47955
69.6,0.52,,,,0.24757,0.38595,0.42681,0.47961
69.8,0.52,,,,0.24757,0.38602,0.42688,0.47966
70,0.52,,,,0.24758,0.38609,0.42696,0.47971
70.2,0.52,,,,0.24759,0.38617,0.42703,0.47976
70.4,0.52,,,0.20083,0.2476,0.38624,0.42711,0.47982
70.6,0.52,,,0.20083,0.24761,0.38631,0.42719,0.47987
